Categories,close,%Change,EMA50,lagged EMA50,RSI,RSI-based MA,RSI-RSIMA,ATR,ADX,MACD,RP,RHODL,RR,MVRV-Z,SupplyP,MinerFeeRev%,Thermocap,AA,AVGFees,Puell,INVCAP,ASOPR,AccuTrend,NUPL,BTCINFLATION,Liveliness,NVT,CVDD,SP500,NASDAQ,POSNEG
4,8475,0.85%,8816.203,8830.129,43.57538,55.99465,-12.4193,470.0636,23.39288,114.5783,5301.445,15747.33,0.006857,1.271725,11586247,1.36E-02,7.39E+09,588527,0.000156,1.259281,8.29E+10,0.987656,0.050197,0.376657,0.045193,0.607565,28.90128,2454.165,#N/A,#N/A,1
4,8686.1,2.49%,8811.1,8816.203,46.89432,54.99279,-8.09847,467.1533,22.82544,78.25914,5301.68,15222.68,0.006931,1.351574,12013798,1.25E-02,7.41E+09,483616,0.000147,1.143517,8.29E+10,0.998897,0.010291,0.392281,0.04044,0.607365,37.69261,2454.84,#N/A,#N/A,1
4,8238.51,2.23%,8727.08,8747.022,41.87894,48.8966,-7.01766,459.8734,21.8869,-117.461,5339.662,18371.45,0.006427,1.134052,11207511,3.65E-02,7.48E+09,703262,0.000332,1.071547,8.35E+10,0.975722,0.190552,0.352843,0.040417,0.609,22.33838,2496.181,2712.97,7354.34,1
4,8516.86,3.42%,8700.318,8707.807,47.20905,46.41772,0.791333,442.8448,21.03708,-130.523,5342.389,17919.9,0.006566,1.238283,11919736,1.37E-02,7.51E+09,475729,0.000158,1.067912,8.35E+10,1.005363,0.115649,0.372461,0.039295,0.608639,38.07238,2497.984,#N/A,#N/A,1
4,7584.15,1.05%,8575.04,8615.484,35.43195,42.06289,-6.63093,445.5648,23.23204,-267.525,5334.844,12547.36,0.005836,0.880775,10308003,1.64E-02,7.58E+09,569796,0.000144,0.949911,8.34E+10,0.989563,0.107562,0.296874,0.038999,0.608237,24.52381,2505.904,2727.76,7424.43,1
4,7346.64,0.12%,8439.859,8484.481,32.86585,39.67944,-6.81358,412.4916,27.17834,-365.376,5325.49,10309.27,0.005597,0.791088,10134243,9.41E-03,7.62E+09,442455,0.000135,1.050889,8.32E+10,0.96893,0,0.277234,0.044836,0.607643,30.35416,2506.484,#N/A,#N/A,1
4,7460,4.95%,8351.25,8387.627,38.30112,38.09429,0.206821,412.7568,29.626,-392.344,5313.662,10147.41,0.005535,0.834848,10394900,1.62E-02,7.65E+09,604750,0.00014,0.88191,8.30E+10,0.977068,0.021349,0.288753,0.037865,0.60729,17.80001,2507.953,2689.86,7396.594,1
4,7485,1.42%,8280.685,8313.162,39.61116,37.83025,1.78092,394.0902,30.79637,-373.93,5309.62,10013.19,0.005647,0.84447,10379601,1.01E-02,7.68E+09,627718,0.000103,1.108137,8.29E+10,0.980904,0.057849,0.291419,0.046491,0.606948,16.99951,2509.817,2705.27,7442.117,1
4,7514.32,0.39%,8250.631,8280.685,40.29103,37.71682,2.574207,383.7251,31.19136,-355.364,5306.548,9653.999,0.005608,0.863419,10580369,9.72E-03,7.70E+09,692408,9.92E-05,1.074652,8.29E+10,0.981679,0.020179,0.296275,0.045367,0.606741,20.62806,2510.547,2734.62,7554.332,1
4,7636.42,1.62%,8226.545,8250.631,43.16082,37.81131,5.349511,374.6798,31.02919,-327.029,5306.738,9635.558,0.005669,0.903812,10804626,8.50E-03,7.71E+09,521898,9.34E-05,0.997008,8.29E+10,0.999208,0,0.305713,0.041458,0.606531,30.9895,2510.649,#N/A,#N/A,1
4,7706.37,0.92%,8206.146,8226.545,44.79773,37.63907,7.158657,361.7569,30.45565,-295.521,5307.676,9767.846,0.005714,0.931664,10886370,7.46E-03,7.73E+09,531451,9.37E-05,1.081291,8.29E+10,1.004637,0,0.312498,0.044519,0.606312,29.10084,2511.173,#N/A,#N/A,1
4,7612.51,1.67%,8155.784,8177.958,43.8889,37.64513,6.243769,354.8541,30.52349,-263.417,5300.837,9797.906,0.005525,0.895468,10835667,8.40E-03,7.76E+09,655687,8.71E-05,1.124957,8.28E+10,0.974797,0.081107,0.305356,0.047861,0.605926,22.00236,2513.239,2748.8,7637.863,1
4,7655,0.56%,8136.145,8155.784,44.929,38.43896,6.490035,344.2931,30.60591,-240.164,5299.889,9523.409,0.005579,0.905431,10972158,1.05E-02,7.77E+09,650992,9.43E-05,0.958397,8.27E+10,0.993436,0.079526,0.307563,0.040048,0.605781,25.76565,2514.701,2772.35,7689.242,1
